"LATITUDE","LONGITUDE","YEAR","TIME","EFFORT_HRS","EFFORT_DISTANCE_KM","Elevation","Water","Evergreen_needle","Evergreen_broad","Deciduous_needle","Deciduous_broad","Mixed_forest","Closed_shrubland","Open_shrubland","Woody_savannas","Savannas","Grasslands","Croplands","Urban_Built","Barren","y"
42.04209,-70.70966,2004,10.5,3,4.828,6,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
42.29327,-78.49029,2004,10,1,0,595,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
42.327618,-76.84524,2004,10.25,0.167,0,155,0,0,0,0,94.4444,2.7778,0,0,0,0,2.7778,0,0,0,0
42.3452195,-76.2989625,2004,6.75,0.75,0.805,446,0,0,0,0,55.5556,0,0,5.5556,0,0,0,38.8889,0,0,0
42.3506789,-72.7109528,2004,7,0.083,0,140,0,0,0,0,22.2222,69.4444,0,0,0,0,0,2.7778,5.5556,0,0
42.3416513,-72.4880088,2004,7,1,1.609,58,0,0,0,0,27.7778,27.7778,0,0,2.7778,0,8.3333,30.5556,2.7778,0,0
42.21259,-72.19122,2004,7,0.5,0,196,0,0,0,0,75,5.5556,0,0,0,0,0,19.4444,0,0,0
42.18235,-72.1131,2004,15.5,2.5,0,290,0,0,0,0,58.3333,41.6667,0,0,0,0,0,0,0,0,0
42.262698,-71.521432,2004,8,3,4.828,121,0,0,0,0,33.3333,63.8889,0,0,0,0,0,2.7778,0,0,0
42.33,-70.929,2004,6.5,2.5,1.609,11,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.53424,-76.6743,2004,7,1.25,1.609,296,0,0,8.3333,0,13.8889,0,0,0,0,0,0,77.7778,0,0,0
42.4589608,-76.5055355,2004,8.5,1,0.805,114,28.2051,5.1282,0,0,20.5128,10.2564,0,2.5641,10.2564,7.6923,0,5.1282,7.6923,2.5641,0
42.3861961,-76.3685913,2004,12,0.167,0,326,0,0,0,0,16.6667,0,0,0,2.7778,0,0,80.5556,0,0,1
